id_artista,name,followers,genres
199,Juan Gabriel,6952886.0,"cancion melodica, latin pop, mariachi, musica mexicana, ranchera"
200,Rammstein,6932148.0,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte, nu metal"
201,Rae Sremmurd,6924845.0,"hip hop, melodic rap, mississippi hip hop, pop rap, rap, southern hip hop, trap"
202,Playboi Carti,6914690.0,"atl hip hop, plugg, pluggnb, rap"
203,Mc Livinho,6911932.0,"funk carioca, funk ostentacao, funk paulista"
204,Mika Singh,6886761.0,"desi hip hop, desi pop, filmi, modern bollywood"
205,Black Eyed Peas,6881366.0,"dance pop, pop, pop rap"
206,Ha*Ash,6866674.0,"latin arena pop, latin pop, mexican pop"
207,Duki,6862156.0,"argentine hip hop, trap argentino, trap latino, trap triste"
208,Ricky Martin,6823561.0,"dance pop, latin pop, mexican pop, puerto rican pop"
209,Jason Mraz,6800128.0,"acoustic pop, neo mellow, pop, pop rock"
210,Trey Songz,6795545.0,"dance pop, hip pop, pop, r&b, southern hip hop, trap, urban contemporary"
211,The Doors,6794163.0,"acid rock, classic rock, psychedelic rock, rock"
212,A Boogie Wit da Hoodie,6742735.0,"melodic rap, rap, trap"
213,Jesse & Joy,6731303.0,"latin arena pop, latin pop, mexican pop"
214,6ix9ine,6695140.0,"emo rap, rap, trap"
215,Zion & Lennox,6693496.0,"latin hip hop, reggaeton, trap latino"
216,The Killers,6644035.0,"alternative rock, dance rock, permanent wave"
217,Blake Shelton,6638917.0,"contemporary country, country, country road, oklahoma country"
218,Tyga,6638519.0,"dance pop, hip hop, pop rap, rap, southern hip hop, trap"
219,Pritam,6618573.0,"desi pop, filmi, indian instrumental, modern bollywood"
220,Alejandro Sanz,6556499.0,"cantautor, latin arena pop, latin pop, mexican pop, rock en espanol, spanish pop"
221,Chayanne,6521199.0,"latin pop, puerto rican pop, tropical"
222,Alka Yagnik,6514672.0,"classic bollywood, desi pop, filmi, hare krishna, modern bollywood"
223,Tiësto,6497410.0,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house"
224,Jonas Brothers,6486402.0,"boy band, dance pop, pop, post-teen pop, uk pop"
225,Meek Mill,6481503.0,"hip hop, philly rap, pop rap, rap, southern hip hop, trap"
226,ANAVITÓRIA,6468028.0,"folk brasileiro, nova mpb, pop lgbtq+ brasileira, pop nacional"
227,Luan Santana,6429598.0,"arrocha, sertanejo, sertanejo pop, sertanejo universitario"
228,Gerardo Ortiz,6428125.0,"banda, corrido, musica mexicana, norteno, nueva musica mexicana, sierreno"
229,Black Sabbath,6414617.0,"album rock, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
230,Os Barões Da Pisadinha,6386488.0,"arrocha, forro, piseiro"
231,Aventura,6383626.0,"bachata, bachata dominicana, latin hip hop, latin pop, trap latino, tropical"
232,Mumford & Sons,6347350.0,"modern folk rock, stomp and holler, uk americana"
233,Major Lazer,6302403.0,"dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house"
234,Prince,6298808.0,"funk, funk rock, minneapolis sound, synth funk"
235,Vishal Dadlani,6281364.0,"desi hip hop, desi pop, filmi, modern bollywood"
236,Lata Mangeshkar,6268615.0,"classic bollywood, desi pop, filmi, lata"
237,Noriel,6262153.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
238,John Legend,6260357.0,"neo mellow, neo soul, pop, pop soul, r&b, urban contemporary"
239,De La Ghetto,6242132.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
240,Los Ángeles Azules,6228606.0,"gruperas inmortales, musica mexicana, nu-cumbia, tropical"
241,Rick Ross,6220623.0,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
242,Yandel,6199874.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
243,Kehlani,6132653.0,"dance pop, pop, r&b, rap"
244,Matuê,6108678.0,"r&b brasileiro, rap cearense, trap brasileiro"
245,Iggy Azalea,6098372.0,"australian hip hop, dance pop, hip pop, pop, pop rap, post-teen pop, rap, uk pop, viral rap"
246,Dire Straits,6028796.0,"album rock, classic rock, mellow gold, rock, soft rock"
247,Ice Cube,6028684.0,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
248,Bee Gees,6025055.0,"disco, mellow gold, soft rock"
249,Ilaiyaraaja,6018379.0,"classic kollywood, filmi, tamil pop"
250,Florence + The Machine,6017975.0,"baroque pop, pop, uk alternative pop"
251,Pineapple StormTv,6003995.0,"rap baiano, trap baiano, trap brasileiro"
252,Kid Cudi,6000043.0,"hip hop, ohio hip hop, rap"
253,Alejandro Fernández,5998788.0,"latin arena pop, latin pop, mariachi, mexican pop, musica mexicana, ranchera"
254,Bryson Tiller,5942355.0,"kentucky hip hop, pop, r&b, rap, trap"
255,Greeicy,5919484.0,"colombian pop, latin pop, r&b en espanol, reggaeton, reggaeton colombiano"
256,Jeremih,5902838.0,"chicago rap, dance pop, pop, pop rap, r&b, urban contemporary"
257,Quavo,5898377.0,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap"
258,Hiphop Tamizha,5882014.0,"desi hip hop, tamil hip hop, tamil pop"
259,Nickelback,5847103.0,"alternative metal, canadian rock, nu metal, post-grunge"
260,Ciara,5815659.0,"dance pop, hip pop, pop, post-teen pop, r&b, urban contemporary"
261,Himesh Reshammiya,5814157.0,"desi hip hop, desi pop, filmi, modern bollywood"
262,Jhené Aiko,5804969.0,"pop, r&b, urban contemporary"
263,Zedd,5803650.0,"complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, pop rap, tropical house, uk pop"
264,Jimi Hendrix,5798872.0,"acid rock, album rock, blues rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
265,Destiny's Child,5783131.0,"dance pop, girl group, hip pop, pop, r&b, urban contemporary"
266,Logic,5783112.0,"conscious hip hop, dmv rap, hip hop, pop rap, rap"
267,Stevie Wonder,5782834.0,"funk, indie r&b, motown, quiet storm, soul"
268,The 1975,5782661.0,"modern alternative rock, modern rock, pop, rock"
269,Scorpions,5776554.0,"album rock, german hard rock, german metal, german rock, hard rock, metal, rock"
270,Bob Dylan,5775647.0,"album rock, classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
271,Frank Sinatra,5774772.0,"adult standards, easy listening, lounge"
272,Charlie Brown Jr.,5760298.0,"brazilian rock, hard rock brasileiro, rock alternativo brasileiro, rock nacional brasileiro"
273,Chance the Rapper,5737262.0,"chicago rap, conscious hip hop, hip hop, pop rap, rap"
274,Mohit Chauhan,5707604.0,"desi pop, filmi, modern bollywood"
275,Amit Trivedi,5689136.0,"desi pop, filmi, modern bollywood"
276,Korn,5660980.0,"alternative metal, funk metal, nu metal, rap metal, rock"
277,Wisin & Yandel,5655168.0,"electro latino, latin hip hop, reggaeton, trap latino"
278,Five Finger Death Punch,5634145.0,"alternative metal, groove metal, nu metal"
279,Shankar Mahadevan,5611772.0,"desi pop, filmi, modern bollywood"
280,Jubin Nautiyal,5609809.0,"desi pop, filmi, hare krishna, modern bollywood"
281,Lil Tjay,5601876.0,"brooklyn drill, melodic rap, nyc rap"
282,Jason Aldean,5559052.0,"contemporary country, country, country road"
283,Marco Antonio Solís,5532978.0,"grupera, latin pop, musica mexicana, ranchera, tropical"
284,Disturbed,5528677.0,"alternative metal, nu metal, rap metal"
285,Mau y Ricky,5521116.0,"latin pop, pop venezolano, reggaeton, trap latino"
286,H.E.R.,5520036.0,"pop, r&b, rap, urban contemporary"
287,Carlos Vives,5504702.0,"champeta, colombian pop, latin pop, tropical, vallenato"
288,Lil Tecca,5452575.0,"melodic rap, pluggnb, rap"
289,Kishore Kumar,5440306.0,"classic bollywood, desi pop, filmi, modern bollywood"
290,Michael Bublé,5435112.0,"adult standards, canadian pop, jazz pop, lounge"
291,Brytiago,5434101.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
292,Melim,5420411.0,"mpb, nova mpb, pop nacional"
293,Madison Beer,5408447.0,"alt z, dance pop, electropop, pop, post-teen pop, uk pop"
294,Carrie Underwood,5392105.0,"contemporary country, country, country dawn, oklahoma country"
295,The Vamps,5348800.0,"boy band, dance pop, pop, post-teen pop, uk pop"
296,Kevin Gates,5326006.0,"baton rouge rap, pop rap, rap, southern hip hop, trap"
297,Simone & Simaria,5317747.0,"funk carioca, pop nacional, sertanejo, sertanejo pop, sertanejo universitario"
298,Legião Urbana,5309254.0,"brazilian rock, mpb, rock brasiliense, rock nacional brasileiro"
299,LUDMILLA,5304465.0,"funk carioca, funk pop, pagode baiano, pop nacional"
300,La Arrolladora Banda El Limón De Rene Camacho,5302348.0,"banda, musica mexicana, ranchera"
301,Creedence Clearwater Revival,5271957.0,"classic rock, country rock, rock, southern rock, swamp rock"
302,Javed Ali,5269359.0,"desi pop, filmi, modern bollywood, sufi"
303,José José,5266408.0,"bolero, cancion melodica, latin pop, ranchera"
304,Tulsi Kumar,5245751.0,"desi pop, filmi, modern bollywood"
305,girl in red,5221036.0,"bedroom pop, bubblegrunge, indie pop, norwegian indie, pop"
306,Lauv,5208597.0,"electropop, pop, uk pop"
307,The Pussycat Dolls,5208348.0,"dance pop, girl group, pop, post-teen pop, urban contemporary"
308,Three Days Grace,5191705.0,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge"
309,Carly Rae Jepsen,5136375.0,"canadian pop, dance pop, electropop, pop, post-teen pop, uk pop"
310,Bazzi,5124336.0,"dance pop, electropop, pop"
311,Bastille,5121783.0,"metropopolis, modern rock, pop, pop rock"
312,The Police,5117758.0,"album rock, classic rock, permanent wave, rock"
313,G-Eazy,5094191.0,"indie pop rap, oakland hip hop, pop, pop rap, rap"
314,Fergie,5080656.0,"dance pop, pop, post-teen pop, rap, urban contemporary"
